ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-5744N|refseq:NP_006071|uniprotkb:Q14563	DIP-5743N|refseq:NP_003864|uniprotkb:O14786	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:10498602|pubmed:DIP-1182S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-9873E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5745N|refseq:NP_003863|uniprotkb:O60462	DIP-5740N|uniprotkb:P15692	 -	-	-	-	MI:0030(cross-linking study)	-	pubmed:10748121|pubmed:DIP-1183S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-9874E	dip-quality-status:core	dip:0002(small scale)		-
DIP-643N|refseq:NP_002010|uniprotkb:P17948	DIP-5746N|uniprotkb:P49763	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:8700872|pubmed:DIP-1179S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-9878E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5738N|refseq:NP_005420|uniprotkb:P49767	DIP-5739N|uniprotkb:P35916	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:8700872|pubmed:DIP-1179S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-9879E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5739N|uniprotkb:P35916	DIP-5751N|refseq:NP_004460	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9435229|pubmed:DIP-1204S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-9905E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5741N|refseq:NP_002244|uniprotkb:P35968	DIP-5751N|refseq:NP_004460	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9435229|pubmed:DIP-1204S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-9906E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5752N|uniprotkb:P49763	DIP-5752N|uniprotkb:P49763	-	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:8621715|pubmed:DIP-1205S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-9907E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5740N|uniprotkb:P15692	DIP-5740N|uniprotkb:P15692	-	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:8621715|pubmed:DIP-1205S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-9908E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5752N|uniprotkb:P49763	DIP-5740N|uniprotkb:P15692	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:8621715|pubmed:DIP-1205S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-9909E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5762N|refseq:NP_034243|uniprotkb:P01132	DIP-5764N|refseq:NP_005219|uniprotkb:P00533	 -	-	-	-	MI:0401(biochemical)|MI:0401(biochemical)	-	pubmed:9806896|pubmed:DIP-1212S|pubmed:8663070|pubmed:DIP-1214S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-9949E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5764N|refseq:NP_005219|uniprotkb:P00533	DIP-5765N|refseq:NP_003227|uniprotkb:P01135	 -	-	-	-	MI:0013(biophysical)|MI:0401(biochemical)	-	pubmed:10775655|pubmed:DIP-1213S|pubmed:8663070|pubmed:DIP-1214S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-9950E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5766N|refseq:NP_001648|uniprotkb:P15514	DIP-5764N|refseq:NP_005219|uniprotkb:P00533	 -	-	-	-	MI:0401(biochemical)|MI:0004(affinity chromatography technology)	-	pubmed:8663535|pubmed:DIP-1215S|pubmed:10085134|pubmed:DIP-1216S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-9951E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5764N|refseq:NP_005219|uniprotkb:P00533	DIP-5767N|refseq:NP_001954|uniprotkb:P01133	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0401(biochemical)|MI:0107(surface plasmon resonance)|MI:0401(biochemical)	-	pubmed:10085134|pubmed:DIP-1216S|pubmed:11684674|pubmed:DIP-1591S|pubmed:10970856|pubmed:DIP-1618S|pubmed:8663535|pubmed:DIP-1215S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-9952E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5764N|refseq:NP_005219|uniprotkb:P00533	DIP-5768N|refseq:NP_001720|uniprotkb:P35070	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9662041|pubmed:DIP-1217S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-9953E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5770N|refseq:NP_002301|uniprotkb:P42702	DIP-5769N|refseq:NP_002300|uniprotkb:P15018	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0019(coimmunoprecipitation)|MI:0401(biochemical)	-	pubmed:8662595|pubmed:DIP-1222S|pubmed:8999038|pubmed:DIP-1245S|pubmed:9852103|pubmed:DIP-1220S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-9955E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5776N|refseq:NP_000605|uniprotkb:P26441	DIP-5777N|refseq:NP_001833|uniprotkb:P26992	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:7539796|pubmed:DIP-1224S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-9997E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5785N|refseq:NP_065391|uniprotkb:P13725	DIP-95N|uniprotkb:P40189	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:8999038|pubmed:DIP-1245S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10063E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5785N|refseq:NP_065391|uniprotkb:P13725	DIP-5770N|refseq:NP_002301|uniprotkb:P42702	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:8999038|pubmed:DIP-1245S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10064E	dip-quality-status:core	dip:0002(small scale)		-
DIP-482N|refseq:NP_000591|uniprotkb:P05231	DIP-5785N|refseq:NP_065391|uniprotkb:P13725	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10681548|pubmed:DIP-1246S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10065E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5788N|refseq:NP_000751|uniprotkb:Q99062	DIP-386N|refseq:NP_000749|uniprotkb:P04141	 -	-	-	-	MI:0401(biochemical)|MI:0114(x-ray crystallography)	-	pubmed:11468284|pubmed:DIP-1248S|pubmed:9187659|pubmed:DIP-1249S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-10068E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5790N|refseq:NP_036895|uniprotkb:Q03348	DIP-5789N|refseq:NP_002382|uniprotkb:P21741	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10212223|pubmed:DIP-1250S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10069E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5792N|refseq:NP_001191|uniprotkb:P12643	DIP-5793N|refseq:NP_004320|uniprotkb:P36894	 -	-	-	-	MI:0107(surface plasmon resonance)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)	-	pubmed:10880444|pubmed:DIP-1253S|pubmed:10881198|pubmed:DIP-1252S|pubmed:11263668|pubmed:DIP-1251S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-10071E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5792N|refseq:NP_001191|uniprotkb:P12643	DIP-5792N|refseq:NP_001191|uniprotkb:P12643	-	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:10881198|pubmed:DIP-1252S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-10072E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5794N|refseq:NP_001195|uniprotkb:Q13873	DIP-5792N|refseq:NP_001191|uniprotkb:P12643	 -	-	-	-	MI:0107(surface plasmon resonance)	-	pubmed:10880444|pubmed:DIP-1253S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-10073E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5796N|uniprotkb:P36895	DIP-5795N|uniprotkb:P12644	 -	-	-	-	MI:0030(cross-linking study)	-	pubmed:7673243|pubmed:DIP-1254S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-10074E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5794N|refseq:NP_001195|uniprotkb:Q13873	DIP-5794N|refseq:NP_001195|uniprotkb:Q13873	-	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:10712517|pubmed:DIP-1255S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10075E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5794N|refseq:NP_001195|uniprotkb:Q13873	DIP-5793N|refseq:NP_004320|uniprotkb:P36894	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:10712517|pubmed:DIP-1255S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10076E	dip-quality-status:core	dip:0002(small scale)		-
DIP-252N|refseq:NP_031586|uniprotkb:P36898	DIP-5794N|refseq:NP_001195|uniprotkb:Q13873	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:10712517|pubmed:DIP-1255S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10077E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5793N|refseq:NP_004320|uniprotkb:P36894	DIP-252N|refseq:NP_031586|uniprotkb:P36898	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:10712517|pubmed:DIP-1255S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10078E	dip-quality-status:core	dip:0002(small scale)		-
DIP-252N|refseq:NP_031586|uniprotkb:P36898	DIP-5797N|refseq:NP_001709|uniprotkb:P22004	 -	-	-	-	MI:0030(cross-linking study)	-	pubmed:10504300|pubmed:DIP-1256S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-10079E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5798N|refseq:NP_031420|uniprotkb:P37172	DIP-5797N|refseq:NP_001709|uniprotkb:P22004	 -	-	-	-	MI:0030(cross-linking study)	-	pubmed:10504300|pubmed:DIP-1256S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-10080E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5796N|uniprotkb:P36895	DIP-5797N|refseq:NP_001709|uniprotkb:P22004	 -	-	-	-	MI:0030(cross-linking study)	-	pubmed:10504300|pubmed:DIP-1256S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-10081E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5799N|refseq:NP_031423|uniprotkb:P27040	DIP-5797N|refseq:NP_001709|uniprotkb:P22004	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:10504300|pubmed:DIP-1256S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10082E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5800N|refseq:NP_001710|uniprotkb:P18075	DIP-5794N|refseq:NP_001195|uniprotkb:Q13873	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:7644468|pubmed:DIP-1257S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10083E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5795N|uniprotkb:P12644	DIP-5794N|refseq:NP_001195|uniprotkb:Q13873	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:7644468|pubmed:DIP-1257S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10084E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5822N|uniprotkb:Q05438	DIP-5795N|uniprotkb:P12644	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:7673243|pubmed:DIP-1254S	taxid:9031(Gallus gallus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10286E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5823N|refseq:NP_000548|uniprotkb:P43026	DIP-252N|refseq:NP_031586|uniprotkb:P36898	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:8702914|pubmed:DIP-1287S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10287E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5824N|refseq:NP_002183|uniprotkb:P08476	DIP-5825N|uniprotkb:P27038	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0030(cross-linking study)	-	pubmed:7890768|pubmed:DIP-1288S|pubmed:10652306|pubmed:DIP-1739S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-10288E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5825N|uniprotkb:P27038	DIP-5826N|refseq:NP_002182|uniprotkb:P05111	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:7890768|pubmed:DIP-1288S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10289E	dip-quality-status:core	dip:0002(small scale)		-
DIP-427N|refseq:NP_004293|uniprotkb:P36896	DIP-5824N|refseq:NP_002183|uniprotkb:P08476	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)	-	pubmed:7890768|pubmed:DIP-1288S|pubmed:9605406|pubmed:DIP-1476S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10290E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5831N|refseq:NP_004581|uniprotkb:O15467	DIP-5832N|refseq:NP_001286|uniprotkb:P32246	 -	-	-	-	MI:0401(biochemical)|MI:0401(biochemical)	-	pubmed:11470772|pubmed:DIP-1296S|pubmed:10910894|pubmed:DIP-1297S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10351E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5833N|refseq:NP_000639|uniprotkb:P41597	DIP-5831N|refseq:NP_004581|uniprotkb:O15467	 -	-	-	-	MI:0401(biochemical)	-	pubmed:11470772|pubmed:DIP-1296S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10352E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5834N|refseq:NP_001707|uniprotkb:P32302	DIP-5831N|refseq:NP_004581|uniprotkb:O15467	 -	-	-	-	MI:0401(biochemical)	-	pubmed:11470772|pubmed:DIP-1296S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10353E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5835N|refseq:NP_002972|uniprotkb:P22362	DIP-5836N|refseq:NP_005192|uniprotkb:P51685	 -	-	-	-	MI:0401(biochemical)|MI:0045(experimental interaction detection)|MI:0401(biochemical)|MI:0045(experimental interaction detection)	-	pubmed:10910894|pubmed:DIP-1297S|pubmed:9211859|pubmed:DIP-1378S|pubmed:11470772|pubmed:DIP-1296S|pubmed:9469461|pubmed:DIP-1332S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10354E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5834N|refseq:NP_001707|uniprotkb:P32302	DIP-5837N|refseq:NP_002974|uniprotkb:P10147	 -	-	-	-	MI:0401(biochemical)|MI:0401(biochemical)	-	pubmed:11470772|pubmed:DIP-1296S|pubmed:9312096|pubmed:DIP-1423S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10355E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5835N|refseq:NP_002972|uniprotkb:P22362	DIP-5832N|refseq:NP_001286|uniprotkb:P32246	 -	-	-	-	MI:0401(biochemical)|MI:0401(biochemical)	-	pubmed:10910894|pubmed:DIP-1297S|pubmed:11470772|pubmed:DIP-1296S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10356E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5838N|refseq:NP_002973|uniprotkb:P13500	DIP-5839N|refseq:NP_000638|uniprotkb:P41597	 -	-	-	-	MI:0401(biochemical)	-	pubmed:11470772|pubmed:DIP-1296S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10357E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5837N|refseq:NP_002974|uniprotkb:P10147	DIP-5832N|refseq:NP_001286|uniprotkb:P32246	 -	-	-	-	MI:0401(biochemical)|MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)|MI:0401(biochemical)|MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)|MI:0401(biochemical)|MI:0401(biochemical)|MI:0401(biochemical)	-	pubmed:7622448|pubmed:DIP-1307S|pubmed:9169459|pubmed:DIP-1333S|pubmed:10498628|pubmed:DIP-1369S|pubmed:10488147|pubmed:DIP-1364S|pubmed:8530354|pubmed:DIP-1353S|pubmed:7545673|pubmed:DIP-1308S|pubmed:9687537|pubmed:DIP-1331S|pubmed:9207005|pubmed:DIP-1464S|pubmed:9336350|pubmed:DIP-1415S|pubmed:9115216|pubmed:DIP-1355S|pubmed:10910894|pubmed:DIP-1297S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10358E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5840N|refseq:NP_002975|uniprotkb:P13236	DIP-5832N|refseq:NP_001286|uniprotkb:P32246	 -	-	-	-	MI:0401(biochemical)|MI:0401(biochemical)	-	pubmed:10910894|pubmed:DIP-1297S|pubmed:7545673|pubmed:DIP-1308S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10359E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-31N|refseq:NP_002976|uniprotkb:P13501	DIP-5832N|refseq:NP_001286|uniprotkb:P32246	 -	-	-	-	MI:0401(biochemical)|MI:0401(biochemical)|MI:0401(biochemical)|MI:0401(biochemical)|MI:0045(experimental interaction detection)|MI:0401(biochemical)	-	pubmed:7545673|pubmed:DIP-1308S|pubmed:9336350|pubmed:DIP-1415S|pubmed:10910894|pubmed:DIP-1297S|pubmed:7622448|pubmed:DIP-1307S|pubmed:8530354|pubmed:DIP-1353S|pubmed:9115216|pubmed:DIP-1355S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10360E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5836N|refseq:NP_005192|uniprotkb:P51685	DIP-5831N|refseq:NP_004581|uniprotkb:O15467	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10910894|pubmed:DIP-1297S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10361E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5836N|refseq:NP_005192|uniprotkb:P51685	DIP-5842N|refseq:NP_002978|uniprotkb:Q92583	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10910894|pubmed:DIP-1297S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10362E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5837N|refseq:NP_002974|uniprotkb:P10147	DIP-5846N|refseq:NP_001828|uniprotkb:P51677	 -	-	-	-	MI:0401(biochemical)	-	pubmed:7622448|pubmed:DIP-1307S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10378E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5846N|refseq:NP_001828|uniprotkb:P51677	DIP-5840N|refseq:NP_002975|uniprotkb:P13236	 -	-	-	-	MI:0401(biochemical)	-	pubmed:7622448|pubmed:DIP-1307S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10379E	dip-quality-status:core	dip:0002(small scale)		-
DIP-31N|refseq:NP_002976|uniprotkb:P13501	DIP-5846N|refseq:NP_001828|uniprotkb:P51677	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0401(biochemical)	-	pubmed:10733106|pubmed:DIP-1363S|pubmed:7622448|pubmed:DIP-1307S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10380E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5847N|refseq:NP_006264|uniprotkb:P80098	DIP-5832N|refseq:NP_001286|uniprotkb:P32246	 -	-	-	-	MI:0401(biochemical)|MI:0045(experimental interaction detection)|MI:0401(biochemical)	-	pubmed:9336350|pubmed:DIP-1415S|pubmed:8530354|pubmed:DIP-1353S|pubmed:7545673|pubmed:DIP-1308S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10381E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5842N|refseq:NP_002978|uniprotkb:Q92583	DIP-5848N|refseq:NP_005499|uniprotkb:P51679	 -	-	-	-	MI:0401(biochemical)|MI:0045(experimental interaction detection)|MI:0401(biochemical)|MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)	-	pubmed:9430724|pubmed:DIP-1309S|pubmed:10488147|pubmed:DIP-1364S|pubmed:9169480|pubmed:DIP-1322S|pubmed:9169459|pubmed:DIP-1333S|pubmed:10498628|pubmed:DIP-1369S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10382E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5848N|refseq:NP_005499|uniprotkb:P51679	DIP-5849N|uniprotkb:O00626	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9430724|pubmed:DIP-1309S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10383E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5855N|refseq:NP_001829|uniprotkb:P32248	DIP-5854N|refseq:NP_002980|uniprotkb:O00585	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0401(biochemical)	-	pubmed:10488147|pubmed:DIP-1364S|pubmed:9507024|pubmed:DIP-1313S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10388E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
